Id	Standard Label	HyId	TupId	Type	Comments
120	Adjustment in research and development tax credit leading to an increase (decrease) in the tax charge, impact on tax rate	1		Percent	
121	Administration and support, average number of employees	1		Decimal	
122	Administration and support, number of employees at date	1	70	Decimal	
123	Administrative expenses	10		Money	
126	Advanced corporation tax written off (back)	1		Money	
127	Advertising and promotional costs	13		Money	
134	Agency and management earnings - Gross	9		Money	All 9,13 HyIds to go
"	"	13		Money	"
135	Agency and management earnings (payments)	9		Money	
136	Aggregate depreciation on leased assets included in tangible fixed assets	23		Money	
137	Aggregate depreciation on tangible fixed assets, on historical cost basis	23	113	Money	
138	Aggregate dividends due at balance sheet date	1		Money	
139	Aggregate dividends paid in the financial year	1		Money	
140	Aggregate dividends proposed before date of approval of accounts and not otherwise disclosed	1		Money	
141	Aggregate gain (loss) on available-for-sale financial assets, before tax, in statement of total recognised gains and losses	1		Money	
142	Aggregate gain (loss) on available-for-sale financial assets, net of tax,in statement of total recognised gains and losses	1		Money	
143	Aggregate gain (loss) on cash flow hedges, before tax, in statement of total recognised gains and losses	1		Money	
144	Aggregate gain (loss) on cash flow hedges, net of tax, in statement of total recognised gains and losses	1		Money	
145	Aggregate increase (decrease) in value yet to be recognised arising from difference between asset fair value and value from valuation technique	1	46	Money	
146	Aggregate increase (decrease) in value yet to be recognised arising from difference between liability fair value and value from valuation technique	1	47	Money	
147	Aggregate market value of listed investments at date	13	63	Money	
148	Agreed contribution for future period [grouping]		2	Tuple	All Tuple Members to go: 3856, 3250, 1839, 1822, 149, 2264
149	Agreed monetary contribution by employer for future period	27	2	Money	
162	Allowances for credit losses, financial assets [grouping]		3	Tuple	All Tuple Members to go: 1563, 223, 4152
163	Alternative sensitivity analysis [grouping]		4	Tuple	All Tuple Members to go: 1290, 1542, 1436
165	Amortisation of ancillary costs related to borrowing arrangements	13		Money	
166	Amortisation of deferred development expenditure	12		Money	
167	Amortisation of discounts or premiums relating to borrowings	13		Money	
170	Amortisation / impairment of interests in own shares	13		Money	
171	Amortisation and impairment (reversal) of intangible fixed assets	6		Money	All 6,38 HyIds to go
"	"	38		Money	"
178	Amortisation of intangible assets, expense	6		Money	All 6,38 HyIds to go
"	"	38		Money	"
179	Amortisation of issue costs of debt issue costs	13		Money	
180	Amount arising from specific cash flow hedge recognised in equity	1	9	Money	
181	Amount arising from specific cash flow hedge transferred from equity to non-financial asset or liability	1	9	Money	
182	Amount arising from specific cash flow hedge transferred to income from equity	1	9	Money	
183	Amount of arrears of shares	41		Money	
184	Amount of barter payments (receipts) for advertising	1		Money	
185	Amount of barter payments (receipts) including in turnover	1		Money	
186	Amount of borrowing exposed to interest rate changes	29		Money	
187	Amount of borrowing repayable within a set time	29		Money	
188	Amount by which credit derivatives or similar instruments related to loans and receivables mitigate maximum exposure to credit risk	29		Money	
189	Amount by which tax on profit on ordinary activities is lower (higher) than tax calculated at standard UK rate	1		Money	
190	Amount by which tax rate on profit on ordinary activities is lower (higher) than standard UK tax rate	1		Percent	
191	Amount of charge on assets of entity in order to secure third party liabilities	1	13	Money	
192	Amount of contingent purchase consideration	31	20	Money	
193	Amount of debt covered by refinancing arrangement	1	15	Money	
194	Amount of development cost not treated as realised loss or realised revenue loss	22		Money	
195	Amount due from (to) related party	1	109	Money	
196	Amount of exceptional operating cost	11	81	Money	All 11,13 HyIds to go
"	"	13	81	Money	"
197	Amount guaranteed	1	126	Money	
198	Amount of loan due after five years	1	127	Money	
199	Amount of negative goodwill in excess of the fair value of non-monetary assets	22		Money	
200	Amount not recognised	1	141	Money	
201	Amount not recognised as an asset because of IAS 58b limit	27		Money	
208	Amount of other specific exceptional gain (loss) reported after operating profit (loss)	1	32	Money	
209	Amount of other staff cost	13	96	Money	
213	Amount of other unexceptional operating cost	13	97	Money	
214	Amount outstanding on guaranteed overdrafts of subsidiaries	1		Money	
215	Amount of particular consignment stock	13	19	Money	
216	Amount payable on redemption of convertible debt	1	31	Money	
217	Amount payable on winding up if different from book value of limited recourse debt	1	58	Money	
218	Amount payable on winding up if different from book value of obligation to pay	1	17	Money	
219	Amount payable on winding up if different from book value of other unusual debt	1	98	Money	
220	Amount payable on winding up if different from book value of subordinated debt	1	133	Money	
221	Amount received for debenture loan / loans issued in the period	1	24	Money	
222	Amount of reconciling item in impairment account	1	107	Money	
223	Amount recorded in impairment allowance account for specific type of financial asset	1	3	Money	
224	Amount of revenue for type	1	114	Money	
225	Amount of specific bank loan	1	7	Money	
226	Amount that may be payable (recoverable)	1	142	Money	
227	Amount of transitional relief taken to income	1	137	Money	
228	Amount written off in period in respect of debt due from related party	1	109	Money	
229	Amounts due for social security and other taxes, current	29		Money	
230	Amounts due on sale of subsidiary	13		Money	
231	Amounts due on sale of subsidiary after one year	13		Money	
232	Amounts due on sale of subsidiary within one year	13		Money	
233	Amounts due to related parties, trade and other payables	29		Money	
234	Amounts owed by associates	13		Money	
235	Amounts owed by associates after one year	13		Money	
236	Amounts owed by associates within one year	13		Money	
237	Amounts owed by group undertakings and other participating interests	13		Money	
238	Amounts owed by group undertakings and other participating interests after one year	13		Money	
239	Amounts owed by group undertakings and other participating interests within one year	13		Money	
240	Amounts owed by joint-ventures	13		Money	
241	Amounts owed by joint-ventures after one year	13		Money	
242	Amounts owed by joint-ventures within one year	13		Money	
243	Amounts owed by other participating interests	13		Money	
244	Amounts owed by other participating interests after one year	13		Money	
245	Amounts owed by other participating interests within one year	13		Money	
246	Amounts owed by subsidiaries	13		Money	
247	Amounts owed by subsidiaries after one year	13		Money	
248	Amounts owed by subsidiaries within one year	13		Money	
249	Amounts owed to associates	13		Money	
250	Amounts owed to associates after one year	13		Money	
251	Amounts owed to associates within one year	13		Money	
252	Amounts owed to group undertakings and other participating interests	13		Money	
253	Amounts owed to group undertakings and other participating interests after one year	13		Money	
254	Amounts owed to group undertakings and other participating interests within one year	13		Money	
255	Amounts owed to group undertakings and participating interests after one year, subtotal	13		Money	
256	Amounts owed to group undertakings and participating interests, subtotal	13		Money	
257	Amounts owed to group undertakings and participating interests within one year, subtotal	13		Money	
258	Amounts owed to joint-ventures	13		Money	
259	Amounts owed to joint-ventures after one year	13		Money	
260	Amounts owed to joint-ventures within one year	13		Money	
261	Amounts owed to other participating interests	13		Money	
262	Amounts owed to other participating interests after one year	13		Money	
263	Amounts owed to other participating interests within one year	13		Money	
264	Amounts owed to parent undertaking	13		Money	
265	Amounts owed to parent undertaking after one year	13		Money	
266	Amounts owed to parent undertaking within one year	13		Money	
267	Amounts owed to related parties	13		Money	
268	Amounts owed to related parties after one year	13		Money	
269	Amounts owed to related parties within one year	13		Money	
270	Amounts owed to subsidiaries	13		Money	
271	Amounts owed to subsidiaries after one year	13		Money	
272	Amounts owed to subsidiaries within one year	13		Money	
273	Amounts recoverable on contracts	13		Money	
274	Amounts recoverable on contracts after one year	13		Money	
275	Amounts recoverable on contracts within one year	13		Money	
277	Amounts written off (back) investments	1		Money	All 1,10,38 HyIds to go
"	"	10		Money	"
"	"	38		Money	"
278	Amounts written off current asset investments	1		Money	
279	Amounts written off investments free-text comment	1		String	
282	Analysis by business segment free-text comment	1		String	
283	Analysis by geography free-text comment	1		String	
288	Analysis of revenue by functional type free-text comment	1		String	
293	Assets (liabilities) by business segment free-text comment	1		String	
295	Assets (liabilities) by geography free-text comment	1		String	
297	Assets obtained by taking possession of collateral [grouping]		5	Tuple	All Tuple Members to go: 1560, 4428, 3876
298	Assets obtained by taking possession of collateral, total carrying value	1		Money	
299	Assets with non-recourse finance arrangements [grouping]		6	Tuple	All Tuple Members to go: 1309, 2450, 2075, 2867, 1998, 3555, 4516, 4520
330	Associate context identifier scheme URL	35		Uri	
332	Associate free-text comment	35		String	
336	Assumed proportion of employees opting for early retirement	27		Decimal	
337	Assumed rate of increase in maximum state healthcare benefits	27		Percent	
338	Assumed rate of increase in retirement healthcare costs	27		Percent	
339	Assumed rate of increase of pensionable salaries	27		Percent	
340	Assumed rate of increase of pensions in payment and deferred pensions	27		Percent	
341	Assumed rate of inflation	27		Percent	
342	Available-for-sale financial assets	29		Money	
343	Average capital employed	1		Money	All 1,17,18 HyIds to go
"	"	17		Money	"
"	"	18		Money	"
344	Average number of employees, analysis by specific department	1	90	Decimal	
346	Average number of employees during the period	11		Decimal	
347	Bad debts written off	9		Money	
350	Bad debts written off costs	13		Money	
352	Balance sheet adjustments free-text comment	1		String	
355	Balance sheet free-text comment	1		String	
361	Bank borrowings	29		Money	
362	Bank borrowings and debentures	1		Money	
363	Bank borrowings and debentures after five years	1		Money	
364	Bank borrowings and debentures between one to two years	1		Money	
365	Bank borrowings and debentures between two to five years	1		Money	
366	Bank borrowings and debentures due after one year	1		Money	
367	Bank borrowings and debentures due within one year	1		Money	
369	Bank borrowings free-text comment	1		String	
370	Bank borrowings and overdrafts	29		Money	
371	Bank borrowings and overdrafts, secured	29		Money	
372	Bank borrowings and overdrafts, unsecured	29		Money	
373	Bank borrowings policy	1		String	
374	Bank borrowings, secured	29		Money	
375	Bank borrowings, unsecured	29		Money	
376	Bank charges, detailed P&L	13		Money	
377	Bank loans, charges	13		Money	
378	Bank loans, finance charges	13		Money	
379	Bank loans [grouping]		7	Tuple	All Tuple Members to go: 1561, 225, 1431, 4224
380	Bank loans, interest payments	13		Money	
381	Bank loans and overdrafts, finance charges	13		Money	All 13,38 HyIds to go
"	"	38		Money	"
382	Bank overdrafts	29		Money	
383	Bank overdrafts acquired with subsidiaries, cash flow	13		Money	
384	Bank overdrafts, acquisition	31		Money	
385	Bank overdrafts disposed of with subsidiaries	33		Money	
386	Bank overdrafts disposed of with subsidiaries, cash flow	13		Money	
387	Bank overdrafts, finance charges	13		Money	
388	Bank overdrafts free-text comment	1		String	
389	Bank overdrafts, secured	29		Money	
390	Bank overdrafts, unsecured	29		Money	
392	Barter payment (receipt) from specific transaction	1	125	Money	
394	Barter transactions policy	1		String	
395	Basic earnings (loss)	1		Money	
396	Basic earnings (loss) per share	41		PerShare	
398	Basic sales revenue	11		Money	All 11,13 HyIds to go
"	"	13		Money	"
404	Basis of dominant influence, subsidiary	36		String	
405	Basis on which standard tax rate has been determined	1		String	
406	Basis of valuation, investments not carried on an historical cost basis	24	57	String	
407	Basis of valuation, tangible fixed assets	23	113	String	
410	Benefits paid related to the defined benefit scheme	27		Money	
415	Bills of exchange	13		Money	
416	Bills of exchange after one year	13		Money	
417	Bills of exchange within one year	13		Money	
419	Bond options, derivatives assets, designated as cash flow hedges	29		Money	
420	Bond options, derivatives assets, designated as fair value hedges	29		Money	
421	Bond options, derivatives assets, designated as hedges of net investment	29		Money	
422	Bond options, derivatives assets, held for trading	29		Money	
423	Bond options, derivatives liabilities, designated as cash flow hedges	29		Money	
424	Bond options, derivatives liabilities, designated as fair value hedges	29		Money	
425	Bond options, derivatives liabilities, designated as hedges of net investment	29		Money	
426	Bonuses	13		Money	
430	Bonuses, staff	13		Money	
431	Book profit on chargeable assets	1		Money	
432	Book profit on chargeable assets, impact on tax rate	1		Percent	
433	Book profit on non-taxable share issues	1		Money	
434	Book profit on non-taxable share issues, impact on tax rate	1		Percent	
436	Book value of debenture loan / loans held by nominees or trustees of the entity	1	23	Money	
437	Borrowing costs capitalised	1		Money	
439	Borrowings	29		Money	
440	Borrowings free-text comment	1		String	
444	Brokerage Fee income	13		Money	
447	Business rates on premises	13		Money	
481	Business segment costs	15		Money	
482	Business segment inter-segment sales	15		Money	
483	Business segment total revenue, including inter-segment sales	15		Money	
488	Called up share capital	1		Money	
489	Called up share capital free-text comment	41		String	
491	Called up share capital not-paid, current asset	13		Money	
492	Called up share capital not-paid, current asset due within one year	13		Money	
493	Called up share capital not paid, not expressed as current asset	13		Money	
494	Canteen costs	13		Money	
498	Capital allowances in excess of depreciation leading to a decrease (increase) in tax	1		Money	
499	Capital allowances in excess of depreciation leading to a decrease (increase) in taxation, impact on tax rate	1		Percent	
500	Capital commitment [grouping]		8	Tuple	All Tuple Members to go: 503, 2079, 3479, 4617
501	Capital commitments free-text comment	1		String	
503	Capital commitments, total contracted but not provided for	1	8	Money	
505	Capital element of finance lease rental payments	13		Money	
506	Capital employed	17		Money	All 17,18 HyIds to go
"	"	18		Money	"
507	Capital gains	1		Money	
508	Capital gains, impact on tax rate	1		Percent	
509	Capital grant	1		Money	
510	Capital instruments policy	1		String	
511	Capital redemption reserve	1		Money	
513	Capital and reserves	12		Money	
515	Capitalisation of own reserves, decrease (increase) in total reserves	1		Money	
516	Capitalisation rate for capitalised borrowing costs	1		Percent	
518	Capitalised finance costs included in tangible fixed assets	23		Money	
519	Carrying amount of assets which could not be reliably valued	23	113	Money	
521	Carrying amount at end of period for assets reclassified from available-for-sale to loans and receivables	1		Money	
522	Carrying amount at end of period for assets reclassified from held for trading to available-for-sale	1		Money	
523	Carrying amount at end of period for assets reclassified from held for trading to held-to-maturity	1		Money	
524	Carrying amount at end of period for assets reclassified from held for trading to loans and receivables	1		Money	
525	Carrying amount of liabilities associated with specific financial assets which do not qualify for recognition	1	26	Money	
526	Carrying amount of liability (asset) arising from share-based payments	28		Money	
527	Carrying amount of loan payable in default or breach	1	60	Money	
528	Carrying amount of original financial assets prior to reclassification or transfer	1	26	Money	
529	Carrying amount of properties valued as fully equipped operational entities	23	112	Money	
530	Carrying amount of specific financial assets which do not qualify for recognition	1	26	Money	
531	Carrying amount of tangible fixed assets, at historical cost less depreciation	23	113	Money	
532	Carrying value of specific financial assets for which fair value has not been disclosed	1	68	Money	
533	Carrying value of specific financial assets for which fair value was not disclosed and which have been derecognised	1	68	Money	
534	Carrying value of specific financial liabilities for which fair value has not been disclosed	1	69	Money	
535	Carrying value of specific financial liabilities for which fair value was not disclosed and which have been derecognised	1	69	Money	
537	Cash acquired with subsidiaries, cash flow	13		Money	
538	Cash acquired with trades and businesses	13		Money	
539	Cash, acquisition	31		Money	
540	Cash assets contributed by the creation of joint-ventures and associates, book value	12		Money	
541	Cash at bank	13		Money	
542	Cash at bank and in hand	13		Money	
543	Cash and cash equivalents policy	1		String	
544	Cash disposed of with subsidiaries	33		Money	
545	Cash disposed of with subsidiaries, cash flow	13		Money	
546	Cash disposed of with trades or businesses	13		Money	
547	Cash flow hedge [grouping]		9	Tuple	All Tuple Members to go: 1562, 1571, 2043, 1465, 1514, 180, 182, 181, 3153
548	Cash flow hedges free-text comment	1		String	
552	Cash flow (outflow) arising from restructuring	13		Money	
553	Cash flow (outflow) before management of liquid resources and financing	13		Money	
554	Cash flow (outflow) from acquisitions and disposals	13		Money	
555	Cash flow (outflow) from capital expenditure and financial investment	13		Money	
556	Cash flow (outflow) from change in debt and lease financing	13		Money	
557	Cash flow (outflow) from financing	13		Money	
558	Cash flow (outflow) from management of liquid resources	13		Money	
559	Cash flow (outflow) from management liquid resources and financing	13		Money	
560	Cash flow (outflow) from operating activities	13		Money	
561	Cash flow (outflow) from other sources	13		Money	
562	Cash flow (outflow) from returns on investments and servicing of finance	13		Money	
563	Cash flow (outflow) related to product remediation	13		Money	
564	Cash flow (outflow) related to provision for disposal of discontinued operations	13		Money	
565	Cash flow (outflow) related to reorganisation	13		Money	
566	Cash flow (outflow) relating to exceptional items	13		Money	
567	Cash flow (outflow) relating to exceptional items free-text comment	13		String	
568	Cash flow statement free-text comment	1		String	
571	Cash held in pension scheme, expected rate of return	27		Percent	
572	Cash held in pension scheme, fair value	27		Money	
574	Cash held in pension scheme, percentage	27		Percent	
575	Cash in hand	13		Money	
576	Cash (overdrafts) acquired	13		Money	
577	Cash payments	13		Money	
578	Cash payments to acquire trades or businesses	13		Money	
579	Cash receipts on sale of associates	13		Money	
580	Cash receipts on sale of joint-ventures	13		Money	
581	Cash receipts on sale of trades or businesses	13		Money	
582	Cash received, disposal of subsidiaries	33		Money	
583	Cash surplus (deficit) from difference between pension charge and cash contribution	13		Money	
584	Central profit (loss) on ordinary activities not attributed to a business segment	7		Money	
585	Central profit (loss) on ordinary activities not attributed to a geographic segment	7		Money	
586	Central restructuring costs, business segment analysis	7		Money	
587	Central restructuring costs, geographic segment analysis	7		Money	
588	Central revenue not attributed to a business segment	1		Money	
589	Central revenue not attributed to a geographic segment	7		Money	
590	Central / Unallocated assets, geographic segment analysis	1		Money	
591	Central / unallocated net assets (liabilities), excluding goodwill, business segment analysis	1		Money	
592	Central / unallocated net assets (liabilities), excluding goodwill, geographic segment analysis	1		Money	
593	Central / unallocated net assets (liabilities), geographic segment analysis	1		Money	
594	Central / unallocated net assets (liabilities), including goodwill, business segment analysis	1		Money	
595	Central / unallocated non-interest bearing net assets (liabilities), business segment analysis	1		Money	
596	Central / unallocated non-interest bearing net assets (liabilities), geographic segment analysis	1		Money	
597	Central / unallocated total assets, business segment analysis	1		Money	
598	Certificates of deposit, overseas	13		Money	
599	Certificates of deposit, UK	13		Money	
600	Change in available-for-sale financial assets	30		Money	
601	Change in bond options, derivatives assets, designated as cash flow hedges	30		Money	
602	Change in bond options, derivatives assets, designated as fair value hedges	30		Money	
603	Change in bond options, derivatives assets, designated as hedges of net investment	30		Money	
604	Change in bond options, derivatives assets, held for trading	30		Money	
605	Change in bond options, derivatives liabilities, designated as cash flow hedges	30		Money	
606	Change in bond options, derivatives liabilities, designated as fair value hedges	30		Money	
607	Change in bond options, derivatives liabilities, designated as hedges of net investment	30		Money	
608	Change in bond options, derivatives liabilities, held for trading	30		Money	
609	Change in common stock, available-for-sale financial assets	30		Money	
610	Change in common stock, financial assets through profit and loss, designated	30		Money	
611	Change in common stock, financial assets through profit and loss, held for trading	30		Money	
612	Change in corporate debt securities, available-for-sale financial assets	30		Money	
613	Change in corporate debt securities, financial assets through profit and loss, designated	30		Money	
614	Change in corporate debt securities, financial assets through profit and loss, held for trading	30		Money	
615	Change in credit default swaps, derivatives assets, designated as cash flow hedges	29		Money	All 29,30 HyIds to go
"	"	30		Money	"
616	Change in credit default swaps, derivatives assets, designated as fair value hedges	30		Money	
617	Change in credit default swaps, derivatives assets, designated as hedges of net investment	30		Money	
618	Change in credit default swaps, derivatives assets, held for trading	30		Money	
619	Change in credit default swaps, derivatives liabilities, designated as cash flow hedges	30		Money	
620	Change in credit default swaps, derivatives liabilities, designated as fair value hedges	30		Money	
621	Change in credit default swaps, derivatives liabilities, designated as hedges of net investment	30		Money	
622	Change in credit default swaps, derivatives liabilities, held for trading	30		Money	
623	Change in currency futures/ forward foreign exchange contracts, derivatives assets, designated as cash flow hedges	30		Money	
624	Change in currency futures/ forward foreign exchange contracts, derivatives assets, designated as fair value hedges	30		Money	
625	Change in currency futures/ forward foreign exchange contracts, derivatives assets, designated as hedges of net investment	30		Money	
626	Change in currency futures/ forward foreign exchange contracts, derivatives assets, held for trading	30		Money	
627	Change in currency futures/ forward foreign exchange contracts, derivatives liabilities, designated as cash flow hedges	30		Money	
628	Change in currency futures/ forward foreign exchange contracts, derivatives liabilities, designated as fair value hedges	30		Money	
629	Change in currency futures/ forward foreign exchange contracts, derivatives liabilities, designated as hedges of net investment	30		Money	
630	Change in currency futures/ forward foreign exchange contracts, derivatives liabilities, held for trading	30		Money	
631	Change in currency swaps, derivatives assets, designated as cash flow hedges	30		Money	
632	Change in currency swaps, derivatives assets, designated as fair value hedges	30		Money	
633	Change in currency swaps, derivatives assets, designated as hedges of net investment	30		Money	
634	Change in currency swaps, derivatives assets, held for trading	30		Money	
635	Change in currency swaps, derivatives liabilities, designated as cash flow hedges	30		Money	
636	Change in currency swaps, derivatives liabilities, designated as fair value hedges	30		Money	
637	Change in currency swaps, derivatives liabilities, designated as hedges of net investment	30		Money	
638	Change in currency swaps, derivatives liabilities, held for trading	30		Money	
639	Change in debentures with fixed interest, available-for-sale financial assets	30		Money	
640	Change in debentures with fixed interest, financial assets through profit and loss, designated	30		Money	
641	Change in debentures with fixed interest, financial assets through profit and loss, held for trading	30		Money	
642	Change in debentures with variable interest, available-for-sale financial assets	30		Money	
643	Change in debentures with variable interest, financial assets through profit and loss, designated	30		Money	
644	Change in debentures with variable interest, financial assets through profit and loss, held for trading	30		Money	
645	Change in debt securities, available-for-sale financial assets	30		Money	
646	Change in debt securities, financial assets through profit and loss, designated	30		Money	
647	Change in debt securities, financial assets through profit and loss, held for trading	30		Money	
648	Change in debt securities issued by banks, available-for-sale financial assets	30		Money	
649	Change in debt securities issued by banks, financial assets through profit and loss, designated	30		Money	
650	Change in debt securities issued by banks, financial assets through profit and loss, held for trading	30		Money	
651	Change in debt securities issued by government agencies and state owned companies, available-for-sale financial assets	30		Money	
652	Change in debt securities issued by government agencies and state owned companies, financial assets through profit and loss, designated	30		Money	
653	Change in debt securities issued by government agencies and state owned companies, financial assets through profit and loss, held for trading	30		Money	
654	Change in debt securities issued by local authorities, available-for-sale financial assets	30		Money	
655	Change in debt securities issued by local authorities, financial assets through profit and loss, designated	30		Money	
656	Change in debt securities issued by local authorities financial assets through profit and loss, held for trading	30		Money	
657	Change in debt securities issued by other issuers, available-for-sale financial assets	30		Money	
658	Change in debt securities issued by other issuers, financial assets through profit and loss, designated	30		Money	
659	Change in debt securities issued by other issuers, financial assets through profit and loss, held for trading	30		Money	
660	Change in debt securities not quoted in active market (at cost), available-for-sale financial assets	30		Money	
661	Change in debt securities not quoted in active market (at cost), financial assets through profit and loss, designated	30		Money	
662	Change in debt securities not quoted in active market (at cost), financial assets through profit and loss, held for trading	30		Money	
663	Change in deposits with credit institutions, available-for-sale financial assets	30		Money	
664	Change in deposits with credit institutions, financial assets through profit and loss, designated	30		Money	
665	Change in deposits with credit institutions, financial assets through profit and loss, held for trading	30		Money	
666	Change in derivatives assets, designated as cash flow hedges	30		Money	
667	Change in derivatives assets, designated as fair value hedges	30		Money	
668	Change in derivatives assets, designated as hedges	30		Money	
669	Change in derivatives assets, designated as hedges of net investment	30		Money	
670	Change in derivatives assets, held for trading	30		Money	
671	Change in derivatives liabilities, designated as cash flow hedges	30		Money	
672	Change in derivatives liabilities, designated as fair value hedges	30		Money	
673	Change in derivatives liabilities, designated as hedges	30		Money	
674	Change in derivatives liabilities, designated as hedges of net investment	30		Money	
675	Change in derivatives liabilities, held for trading	30		Money	
676	Change in embedded derivatives, derivatives assets, designated as cash flow hedges	30		Money	
677	Change in embedded derivatives, derivatives assets, designated as fair value hedges	30		Money	
678	Change in embedded derivatives, derivatives assets, designated as hedges of net investment	30		Money	
679	Change in embedded derivatives, derivatives assets, held for trading	30		Money	
680	Change in embedded derivatives, derivatives liabilities, designated as cash flow hedges	30		Money	
681	Change in embedded derivatives, derivatives liabilities, designated as fair value hedges	30		Money	
682	Change in embedded derivatives, derivatives liabilities, designated as hedges of net investment	30		Money	
683	Change in embedded derivatives, derivatives liabilities, held for trading	30		Money	
684	Change in equity index futures, derivatives assets, designated as cash flow hedges	30		Money	
685	Change in equity index futures, derivatives assets, designated as fair value hedges	30		Money	
686	Change in equity index futures, derivatives assets, designated as hedges of net investment	30		Money	
687	Change in equity index futures, derivatives assets, held for trading	30		Money	
688	Change in equity index futures, derivatives liabilities, designated as cash flow hedges	30		Money	
689	Change in equity index futures, derivatives liabilities, designated as fair value hedges	30		Money	
690	Change in equity index futures, derivatives liabilities, designated as hedges of net investment	30		Money	
691	Change in equity index futures, derivatives liabilities, held for trading	30		Money	
692	Change in equity index options, derivatives assets, designated as cash flow hedges	30		Money	
693	Change in equity index options,, derivatives assets, designated as fair value hedges	30		Money	
694	Change in equity index options, derivatives assets, designated as hedges of net investment	30		Money	
695	Change in equity index options, derivatives assets, held for trading	30		Money	
696	Change in equity index options, derivatives liabilities, designated as cash flow hedges	30		Money	
697	Change in equity index options, derivatives liabilities, designated as fair value hedges	30		Money	
698	Change in equity index options, derivatives liabilities, designated as hedges of net investment	30		Money	
699	Change in equity index options, derivatives liabilities, held for trading	30		Money	
700	Change in equity index/ sector swaps, derivatives assets, designated as cash flow hedges	30		Money	
701	Change in equity index/ sector swaps, derivatives assets, designated as fair value hedges	30		Money	
702	Change in equity index/ sector swaps, derivatives assets, designated as hedges of net investment	30		Money	
703	Change in equity index/ sector swaps, derivatives assets, held for trading	30		Money	
704	Change in equity index/ sector swaps, derivatives liabilities, designated as cash flow hedges	30		Money	
705	Change in equity index/ sector swaps, derivatives liabilities, designated as fair value hedges	30		Money	
706	Change in equity index/ sector swaps, derivatives liabilities, designated as hedges of net investment	30		Money	
707	Change in equity index/ sector swaps, derivatives liabilities, held for trading	30		Money	
708	Change in equity securities - Europe, financial assets through profit and loss, designated	30		Money	
709	Change in equity securities - Europe, financial assets through profit and loss, held for trading	30		Money	
710	Change in equity securities- uk, available-for-sale financial assets	30		Money	
711	Change in equity securities - UK, financial assets through profit and loss, designated	30		Money	
712	Change in equity securities -europe, available-for-sale financial assets	30		Money	
